Cocktail,Ingredients,Method,Process,Glass,Garnish,Notes,Characteristics,
Painkiller,1oz Aged Jamaican Rum,Shaken / Swizzled,#NAME?,Hurricane or Collins,Orange wheel,"If you don't have Blood Orange juice, substitute 0.75oz Orange juice + 0.25oz Lime juice instead.",Rum,
,1oz Aged Rhum Agricole,,#NAME?,,Grated nutmeg,Fun riff:,Tart,
,1oz Pineapple juice,,#NAME?,,,"Replace half the Rums with Campari, and Use to 1oz of regular Orange juice",Fruit forward,
,0.75oz Coconut Cream (house made),,#NAME?,,,,Sweet,
,1oz Blood Orange juice,,#NAME?,,,,Creamy,
,2 drops of Saline solution,,#NAME?,,,,,
,,,,,,,,
Paloma,1.5oz Blanco Tequila (or Mezcal),Shaken,#NAME?,Collins,Grapefruit twist,"A bit more involved than the original. If you get your hands on some genuine Mexican Squirt, feel free to",Tequila,
,0.75oz Aperol,,#NAME?,,,make the OG version - it's great!,Tart,
(Modern Interpretation),1oz Grapefruit juice,,#NAME?,,,,Bubbly,
,0.5oz Lime juice,,#NAME?,,,,Fruit forward,
,0.25oz Simple syrup,,#NAME?,,,,,
,6 drops of Saline solution,,,,,,,
,1 dash of Angostura bitters,,,,,,,
,Fill with Club soda,,,,,,,
,,,,,,,,
Paper Plane,1oz Bourbon,Shaken,#NAME?,Coupe,Orange twist,Another modern classic by the rapscallion known as Samuel Ross.,Bourbon,
,0.75oz Aperol,,#NAME?,,,Aged Jamaican Rum instead of Bourbon = Paper Weight Cocktail,Tart,
,0.75oz Amaro Nonino (or Amaro Meletti),,#NAME?,,,,,
,0.75oz Lemon juice,,#NAME?,,,,,
,,,,,,,,
Pegu Club,1.5oz Gin,Shaken,#NAME?,Coupe,Lime wheel on a pick,The house cocktail of an old British men's club from the 1920s located in modern-day Myanmar. ,Gin,
,0.75oz Dry Curacao,,#NAME?,,,Later immortalized by Audrey Saunders' NYC bar of the same name. ,Tart,
,0.75oz Lime juice,,#NAME?,,,,,
,0.25oz Simple syrup,,#NAME?,,,,,
,1 dash of Angostura bitters,,,,,,,
,1 dash of Orange bitters,,,,,,,
,,,,,,,,
Penicillin,2oz Scotch,Shaken,#NAME?,Rocks glass,Lemon wheel ,"Arguably the most famous of Sammy Ross' modern classics, this drink has a ton of riffs. Here are a few:",Scotch,
,0.75oz Lemon juice,,#NAME?,,Candied ginger,Tequila instead of Scotch + lime juice instead of lemon + mezcal instead of Laphroiag = Medicina Latina,Tart,
,0.5oz Honey syrup,,#NAME?,,,Rhum agricole instead of Scotch + lime juice instead of lemon juice + no Laphroiag spritz = La Chancleta,Spicy,
,0.5oz Ginger syrup,,#NAME?,,,Yellow Chartreuse instead of honey syrup = Amoxicillin,Smokey,
,2 sprays of Laphroaig Scotch,,#NAME?,,,Gin instead of Scotch + Simple syrup instead of honey syrup + Rosewater instead of Laphroaig = Evelation,,
,,,,,,,,
Pimm's Cup,2oz Pimm's No.1,Shaken,#NAME?,Collins,Cucumber slice and mint sprig on a pick,"This cocktail is kind of a pain to make and is super crushable. So if you make a couple, plan on making a",Pimm's No.1,
,0.75oz Lemon juice,,#NAME?,,2 Orange half-wheels,lot more.,Low ABV,
,0.5oz Simple syrup,,#NAME?,,,"For a cool riff on this cocktail, replace the muddled orange wedges with an equal volume of strawberries.",Tart,
,2 Orange wedges (~1/4 of a whole orange),,#NAME?,,,"For an even cooler riff, use strawberries, add 0.5oz 100proof Bourbon, and drop the Pimm's to 1.5oz",Bubbly,
,5 slices of Cucumber,,#NAME?,,,,Fruit forward,
,Large handful of Mint Leaves,,#NAME?,,,,Sweet,
,Fill with Ginger Beer,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Piña Colada,1.5oz Aged Rum,Shaken / Swizzled,#NAME?,Hurricane or Collins,Pineapple wedge (if you have it),"For a drier riff, subsititute 0.5oz of the Aged Rum with 0.5oz of Angostura bitters.",Rum,
,0.5oz Aged Jamaican Rum,,#NAME?,,2 cherries on a pick,,Tart,
,1.5oz Pineapple juice,,#NAME?,,,,Fruit forward,
,1oz Coconut Cream (house made),,#NAME?,,,,Sweet,
,0.5oz Lime juice,,#NAME?,,,,Creamy,
,,,#NAME?,,,,,
,,,,,,,,
Pink Lady,1.5oz Gin,2 Cube Shake,#NAME?,Coupe,No garnish,"Attributed to Harry McElhone in the ABC of Mixing Cocktails, 1922",Gin,
,0.5oz Apple Brandy,,- Add 2 kold draft cubes ,,,,Citrusy,
,0.75oz Lemon juice,,#NAME?,,,,Fruit forward,
,0.75oz Grenadine,,#NAME?,,,,,
,0.75oz Egg White,,,,,,,
,,,,,,,,
Pisco Sour,2oz Pisco,2 Cube Shake,#NAME?,Coupe,Flourishes of Angostura bitters,This was actually first served by a Californian! ,Pisco,
,0.5oz Lemon juice,,- Add 2 kold draft cubes ,,,,Citrusy,
,0.5oz Lime juice,,#NAME?,,,,Floral,
,0.75oz Simple syrup,,#NAME?,,,,,
,0.75oz Egg White,,#NAME?,,,,,
,Top with flourishes of Angostura bitters,,,,,,,
,,,,,,,,
Poet's Dream,2oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,,Gin,
,0.75oz Dry Vermouth,,#NAME?,,,,Spirit forward,
,0.25oz Benedictine,,#NAME?,,,,,
,2 dashes of Orange bitters,,#NAME?,,,,,
,,,,,,,,
Prescription Julep,1.5oz Rye,Swizzled,#NAME?,Rocks glass,Mint Bouquet,"Most people assume that because this drink became emblematic of the Kentucky Derby, that it must ",Rye / Cognac,
,0.5oz Cognac,,#NAME?,,,"be made with Bourbon, and while that is assuredly delicious, it was most likely originally made with a ",Spirit forward,
,0.25oz Rich Demerara syrup,,#NAME?,,,"blend of Cognac and Rye. Its also way boozier than people assume it will be, and dangerously drinkable.",Sweet,
,Large handful of mint,,#NAME?,,,,,
,0.25oz Aged Jamaican Rum (floated),,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Queen's Park Swizzle,2oz Aged Rum,Swizzled,#NAME?,Collins,Mint Bouquet,"From Trader Vic's Bartender's Guide, 1947",Rum,
,1oz Lime juice,,#NAME?,,,,Citrusy,
,0.5oz Rich Demerara syrup,,#NAME?,,,,,
,Large handful of mint leaves,,#NAME?,,,,,
,2 dashes of Angostura bitters (floated),,#NAME?,,,,,
,2 dashes of Angostura bitters (floated),,- Float Angostura and Peychaud's bitters,,,,,
,,,,,,,,
Ramos Gin Fizz,2oz Gin,2 Cube Shake /,#NAME?,Collins,Orange twist,I hate making this drink. It's like unleashing a zombie infection on your bar: an order for one turns into an ,Gin,
,0.5oz Lime juice,Whip Shake,- Add 2 kold draft cubes ,,,"order for two, and then four, and before you know it you're in the weeds (because each one takes 3-4",Citrusy,
,0.5oz Lemon juice,,#NAME?,,,minutes to make) and your arms hurt like hell and all hope of escape has died and you just want to go back,Bubbly,
,0.75oz Simple syrup,,#NAME?,,,"in time and shoot yourself in the face for ever making the first one. That being said, they're fucking",Floral,
,0.75oz Egg White,,#NAME?,,,delicious and George Ramos was some kind of evil genius for inventing them. ,Creamy,
,0.75oz Heavy Cream,,#NAME?,,,,,
,3 drops of Orange Flower water,,- Add 2 kold draft cubes to glass,,,,,
,Fill with Club Soda,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,tapping the bottom of the glass with a muddler,,,,,
,,,,,,,,
Red Hook,2oz Rye,Stirred,#NAME?,Nick and Nora,Cherry,A Manhattan riff from Enzo Errico,Rye,
,0.75oz Punt e Mes Sweet Vermouth,,#NAME?,,,,Spirit forward,
,0.25oz Maraschino,,#NAME?,,,,Bitter,
,,,#NAME?,,,,,
,,,,,,,,
Remember the Maine,2oz Rye,Stirred,#NAME?,Nick and Nora,Lemon twist,Named after the ralling cry used by warmongering journalists to help jumpstart the Spanish-American,Rye,
,0.75oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,"war. So that's...pretty shitty, actually. ",Spirit forward,
,0.5oz Cherry Heering,,#NAME?,,,,Herbaceous,
,1 dash of Angostura bitters,,#NAME?,,,,,
,2 sprays of Absinthe,,#NAME?,,,,,
,,,,,,,,
Rome with a View,1oz Campari,Shaken,#NAME?,Collins,Orange twist,My 2nd favorite Americano/Ricky mash-up,Campari / Vermouth,
,1oz Dry Vermouth,,#NAME?,,,,Low ABV,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,0.75oz Simple syrup,,#NAME?,,,,Bubbly,
,Fill with Club soda,,#NAME?,,,,Bitter,
,,,#NAME?,,,,,
,,,,,,,,
The Rose,2oz Vodka,Shaken,#NAME?,Coupe,Orange twist,A crowd-pleaser,Vodka ,
,0.75oz Lemon juice,,#NAME?,,,,Tart,
,0.5oz Aperol,,#NAME?,,,,,
,0.5oz Simple syrup,,#NAME?,,,,,
,,,,,,,,
Russian Monk,2oz Vodka,Shaken,#NAME?,Coupe,No garnish,,Vodka ,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,0.5oz Yellow Chartreuse,,#NAME?,,,,Herbaceous,
,0.5oz Simple syrup,,#NAME?,,,,Floral,
,3 drops of Orange Flower water,,,,,,,
,,,,,,,,
Sad Bastard,1oz Gin,Shaken,#NAME?,Collins,Lime wheel,"This riff on a buck combines Gin, Bourbon, and a touch of Allspice Dram. I'm 95% sure it was created by",Gin / Bourbon,
,1oz Bourbon,,#NAME?,,Candied ginger,Dave Kupchinsky. ,Tart,
,0.5oz Lime,,#NAME?,,,,Bubbly ,
,0.25oz Simple syrup,,#NAME?,,,,Baking spices,
,2 dashes of Angostura bitters,,#NAME?,,,,,
,Fill with Ginger beer,,,,,,,
,0.25oz Allspice Dram (floated),,,,,,,
,,,,,,,,
The Saturn Cocktail,1.5oz Gin,Swizzled,#NAME?,Rocks glass,Lime twist around cherry on a pick,"Rediscovered by Jeff ""Beachbum"" Barry, this Gin-based tiki cocktail is credited to California bartender  ",Gin,
,0.5oz Lemon juice,,#NAME?,,,"J. ""Popo"" Galsini, who used it to win the International Bartender Association World Championship in 1967.",Tart,
,0.5oz Orgeat,,#NAME?,,,,Fruit forward,
,0.25oz Passionfruit syrup,,#NAME?,,,,,
,0.25oz Falernum,,,,,,,
,,,,,,,,
,,,,,,,,
Sazerac,2oz Rye or Cognac (ask),Stirred,#NAME?,Rocks glass (served neat),Lemon twist,Perhaps the most iconic New Orleans classic cocktail.,Rye or Cognac,
,0.25oz Rich Demerara syrup,,#NAME?,,,"Our default is Rye, but its also delicious - albeit a bit sweeter - with Cognac.",Spirit forward,
,3 dashes of Peychaud's bitters,,#NAME?,,,,Sweet,
,1 dash of Angostura bitters,,#NAME?,,,,Herbaceous,
,2 sprays of Absinthe,,#NAME?,,,,,
,,,,,,,,
Scofflaw,1.5oz Rye,Shaken,#NAME?,Coupe,No garnish,,Rye,
,0.75oz Dry Vermouth,,#NAME?,,,,Tart,
,0.75oz Lemon juice,,#NAME?,,,,Fruit forward,
,0.66oz Grenadine,,#NAME?,,,,,
,,,,,,,,
Seelbach,1oz Bourbon,Built,#NAME?,Flute,Orange twist ,"The story goes that this cocktail was created circa 1912, at the Louisville bar of the same name, when a ",Bourbon,
,0.5oz Cointreau,,#NAME?,,,bartender at the Old Seelbach Bar quickly reached for a patron’s Manhattan glass to catch an overflowing,Low ABV,
,7 dashes of Angostura bitters,,#NAME?,,,"bottle of Champagne. If only that were true. Turns out that entire story was faked by Adam Seger, who",Bubbly,
,7 dashes of Peychaud's bitters,,,,,created the drink in the 90s while he was the hotel director. Alas. ,,
,Fill with Sparkling wine (white),,,,,,,
,,,,,,,,
Sherry Cobbler,3oz Amontillado Sherry,Shaken / Swizzled,#NAME?,Collins,Orange half-wheel,"Dating back to the mid-1800s, the Sherry Cobbler is one of those classic cocktails that is often forgotten",Sherry,
,0.5oz Simple syrup,,#NAME?,,Lemon half-wheel,"- to our own detriment. In addition to being one of the oldest low-ABV cocktails out there, from it's ",Low ABV,
,1 Lemon wheel,,#NAME?,,Fresh berries (if you have them),"relatively simple ingredients is born a subtle, deep, and layered set of flavors. ",Sweet,
,1 Orange wheel,,#NAME?,,Mint sprig ,I've tweaked the original a bit by adding a little bitters for balance. ,,
,2 dashes of Orange bitters,,#NAME?,,,"Interestingly enough, this was one of the first cocktails that specifically called for a straw, in addition to",,
,,,#NAME?,,,one of the few at the time that was shaken and served with ice.,,
,,,#NAME?,,,,,
,,,,,,,,
Sidecar,1.5oz Cognac,Shaken,#NAME?,Coupe,Optional half-sugar rim (ask),,Cognac,
,1oz Cointreau,,#NAME?,,Lemon wedge,,High ABV,
,0.5oz Lemon juice ,,#NAME?,,,,Tart,
,1 barspoon of Simple syrup,,#NAME?,,,,Sweet,
,,,,,,,,
Singapore Sling,1.5oz Gin,Shaken,#NAME?,Collins,Pineapple wedge and cherry on a pick,Also great with Navy-strength Gin! ,Gin,
,1.5oz Pineapple juice,,#NAME?,,,,Tart,
,0.5oz Cherry Heering,,#NAME?,,,"So, admittedly, this drink is kinda wild. It kinda seems like a Gin-based tiki drink, but it dates back to the late",Fruit forward,
,0.5oz Grenadine,,#NAME?,,,"1800s, where it was first made by bartender Ngiam Tong Boon of Long Bar, located inside Singapore's ",Sweet,
,0.25oz Benedictine,,,,,"Raffles Hotel. And despite having the word ""Sling"" in the title, its 8 ingredient recipe outs it as being ",,
,0.25oz Cointreau,,,,,quite far-afield. But there isn't a consensus that the first published version of this cocktail was actually,,
,0.25oz Lime juice,,,,,"the version that Boon made, so who the fuck knows? ...Probably David Wondrich. I bet he knows. ",,
,2 dashes of Angostura bitters,,,,,,,
,,,,,,,,
Song of Solomon,1.5oz Rye,Stirred,#NAME?,Nick and Nora,No garnish,A slightly savory riff on Chad Solomon's Bensonhurst,Rye,
,0.75oz Dry Vermouth,,#NAME?,,,,Spirit forward,
,0.5oz Cynar,,#NAME?,,,,Herbaceous,
,0.5oz Maraschino,,#NAME?,,,,Savory,
,3 dashes of Celery bitters,,,,,,,
,,,,,,,,
Tipperary,2oz Irish Whisky,Stirred,#NAME?,Nick and Nora,No garnish,"Similar to an Irish whiskey based Bijou, this cocktail dates back to 1816 and is named after the song ""It's",Irish Whiskey,
,0.75oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,"a Long Road to Tipperary"", which was an which was an anthem for homesick Irish soldiers during WWI.",High ABV,
,0.5oz Green Chartreuse,,#NAME?,,,"There are actually 3 totally different recipes with this same name, but mine is based on the oldest one.  ",Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,Herbaceous,
,,,,,,,,
Ti Punch,2oz Unaged Rhum Agricole,Built / Stirred,#NAME?,Rocks glass,Lime twist,,Rhum Agricole,
,1 barspoon of Rich Demerara syrup,,#NAME?,,,,Spirit forward,
,1 large Lime disk,,#NAME?,,,,Sweet,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Toronto,2oz Rye,Stirred,#NAME?,Nick and Nora,Orange twist,,Rye,
,0.5oz Fernet Branca,,#NAME?,,,Substitute the Rye for Bourbon + 0.5oz Sweet Vermouth + drop the Fernet to 0.25oz + replace the simple,Spirit forward,
,0.25oz Simple syrup,,#NAME?,,,syrup with 1 barspoon of honey syrup + Lemon twist garnish = New Toronto Cocktail,Herbaceous,
,2 dashes of Angostura bitters,,#NAME?,,,,,
,,,,,,,,
Trick Dog Aperitivo,1.5oz Amontillado sherry,Built / Stirred,#NAME?,Rocks glass,Lemon twist,This was my 2nd cocktail at Trick Dog in SF. And the 2nd recipe I wrote down on a sheet of receipt paper ,Sherry / Amaro,
,1oz Gran Classico,,#NAME?,,,while I was there. ,Low ABV,
,2 dashes of Orange bitters,,#NAME?,,,,Spirit forward,
,,,,,,,Bitter,
,,,,,,,,
Trident,1oz Aquavit,Stirred,#NAME?,Nick and Nora,Lemon twist,This Negroni riff was created by Robert Hess in Seattle,Aquavit,
,1oz Cynar,,#NAME?,,,,Spirit forward,
,1oz Fino Sherry,,#NAME?,,,,Herbaceous,
,2 dashes of Peach bitters,,#NAME?,,,,Bitter,
,,,,,,,,
Trinidad Sour,1oz Rye,Shaken,#NAME?,Coupe,No garnish,This adventurous and exceptionally bitter cocktail was created by Giuseppe Gonzalez at Clover Club in ,Rye / Angostura bitters,
,1oz Angostura bitters,,#NAME?,,,"Brooklyn, circa 2008.",Tart,
,0.75oz Lemon juice,,#NAME?,,,Heads up: Angostura bitters is expensive to drink by the ounce. You've been warned.,Baking spices,
,1oz Orgeat,,#NAME?,,,,Bitter,
,0.25oz Egg White,,,,,,,
,,,,,,,,
Tuxedo Cocktail,2oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,,Gin,
aka,1oz Dry Vermouth,,#NAME?,,,,Spirit Forward,
Turf Club Cocktail,0.25oz Maraschino,,#NAME?,,,,Herbaceous,
,2 dashes of Orange bitters,,#NAME?,,,,,
,2 sprays of Absinthe,,#NAME?,,,,,
,,,,,,,,
Vatican City,1oz Suze,Shaken,#NAME?,Collins,Grapefruit twist,"I'm 95% sure that this riff on a Rome with a View cocktail was invented at The Varnish, in Downtown LA. ",Suze / Vermouth,
,1oz Blanc Vermouth,,#NAME?,,,,Low ABV,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,0.75oz Simple syrup,,#NAME?,,,,Bubbly,
,Fill with Club Soda,,#NAME?,,,,Bitter,
,,,#NAME?,,,,,
,,,,,,,,
Vesper Martini,1oz Vodka,Stirred or Shaken,#NAME?,Nick and Nora,Lemon twist ,"Ordered by Bond - James Bond in the 1953 novel Casino Royale by Ian Flemming. Although honestly, it ",Gin / Vodka,
,1.5oz Gin,(ask),#NAME?,,,"wasn't so much a recipe, they were more like guidelines. The actual Bond order calls for “three measures""",High ABV,
,0.5oz Cocchi Americano,,#NAME?,,,"of gin, and ""one of vodka"". Since the ""measures"" are not specified, it requires some interpretation. ",Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,,
,,,,,,,,
Vieux Carre,1oz Rye,Built / Stirred,#NAME?,Rocks glass,Lemon twist,A classic cocktail from the Hotel Monteleone in the French Quarter (hence the name) of New Orleans. ,Rye / Cognac,
,1oz Cognac,,#NAME?,,,,Spirit forward,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Baking spices,
,0.25oz Benedictine,,,,,,,
,2 dashes of Angostura bitters ,,,,,,,
,2 dashes of Peychaud's bitters,,,,,,,
,,,#NAME?,,,,,
Ward Eight,2oz Rye,Shaken,#NAME?,Rocks glass,Lemon wheel,Subtitute Bourbon instead of Rye + orgeat instead of grenadine = Baby's First Bourbon,Rye ,
,0.5oz Lemon juice,,#NAME?,,,,Tart,
,0.5oz Orange juice,,#NAME?,,,,Fruit forward,
,0.5oz Grenadine,,#NAME?,,,,,
,,,,,,,,
Whiskey Smash,2oz Rye,1 Cube Shaken,#NAME?,Rocks glass,Lemon wheel,"Like the Caipirinha, make sure the acidity and sweetness are balanced.  ",Rye,
,4-5 Lemon Wedges,,#NAME?,,Mint Bouquet ,,Tart,
,0.75oz Simple syrup,,#NAME?,,,,,
,Large handful of mint leaves,,#NAME?,,,,,
,,,- Add 1 kold draft cube,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Whiskey Sour,"2oz Bourbon (Our default, but ask)",2 Cube Shaken,#NAME?,Coupe,Flourishes of Angostura bitters,I find that this is the one cocktail that people often order without realizing that modern bartenders usually,Bourbon / Rye,
,1oz Lemon,,- Add 2 kold draft cubes ,,,"make it with egg white, so please ask. Also, double check that the guest is fine with it being served Up.  ",Tart,
,0.75oz Simple syrup,,#NAME?,,,,,
,0.75oz Egg white,,#NAME?,,,,,
,Top with flourishes of Angostura bitters,,#NAME?,,,,,
,,,,,,,,
White Lady,1.75oz Gin,2 Cube Shaken,#NAME?,Coupe,Orange peel,,Gin,
,0.75oz Cointreau,,- Add 2 kold draft cubes ,,,,High ABV,
,0.75oz Lemon,,#NAME?,,,,Tart,
,0.25oz Simple syrup,,#NAME?,,,,,
,0.75oz Egg white,,,,,,,
,,,,,,,,
White Russian,1oz Vodka,Shaken,#NAME?,Rocks glass,No garnish,"Traditionally, this drink is not shaken. However, being of three very different densities, I find that, while the",Vodka,
,1oz Coffee Liqueur,,#NAME?,,,"built-in-glass, swirly version looks nice, it is less-than-pleasant to drink until the ingredients homogenize. ",Sweet,
,1oz Half n Half,,#NAME?,,,"For that reason (plus the nice froth), I think its best to give it a short shake. ",Creamy,
,,,,,,,,
Yellow Jacket,2oz Mezcal (or Reposado Tequila),Stirred,#NAME?,Nick and Nora,Lemon twist,"The original comes from Employee's Only in NYC and calls for a lot more St. Germain, Yellow Chartreuse,",Mezcal (or Tequila),
,0.5oz Dry Vermouth,,#NAME?,,,"no dry vermouth, and no bitters. *sigh* I'm not mad at you, EO, I'm just disappointed. ",Spirit forward,
,0.33oz Yellow Chartreuse,,#NAME?,,,,Floral,
,0.33oz St. Germain,,#NAME?,,,,Sweet,
,3 dashes of Orange bitters,,,,,,,
,,,,,,,,
Template,Template,Template,#NAME?,Template,Template,,,
,Template,,#NAME?,,Template,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,,,,,,,,
Template,Template,Template,#NAME?,Template,Template,,,
,Template,,#NAME?,,Template,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,,,,,,,,
Template,Template,Template,#NAME?,Template,Template,,,
,Template,,#NAME?,,Template,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
,Template,,#NAME?,,,,,
